iter	Passed	Remaining
466	765	874
467	767	872
468	769	870
469	771	869
470	773	868
471	775	867
472	776	865
473	778	864
474	780	863
475	782	861
476	783	859
477	785	857
478	787	856
479	789	854
480	790	853
481	792	851
482	793	849
483	795	848
484	797	846
485	798	844
486	799	842
487	801	840
488	802	838
489	804	836
490	805	834
491	806	832
492	808	831
493	811	830
494	812	828
495	814	827
496	815	825
497	817	823
498	818	821
499	819	819
500	821	817
501	822	816
502	824	814
503	826	813
504	828	811
505	830	810
506	831	808
507	833	806
508	834	805
509	836	803
510	837	801
511	839	799
512	841	798
513	842	796
514	844	795
515	846	793
516	847	792
517	849	790
518	850	788
519	851	786
520	853	785
521	858	785
522	859	784
523	861	782
524	862	780
525	865	779
526	866	778
527	868	776
528	870	774
529	872	774
530	874	772
531	876	770
532	877	769
533	879	767
534	880	765
535	882	763
536	884	762
537	885	760
538	887	759
539	888	757
540	890	755
541	892	754
542	893	752
543	895	750
544	897	749
545	899	747
546	901	746
547	903	744
548	905	743
549	906	741
550	908	740
551	909	738
552	911	736
553	912	734
554	914	733
555	915	731
556	917	729
557	919	728
558	920	726
559	921	724
560	923	722
561	925	721
562	927	719
563	928	717
564	930	716
565	933	715
566	935	714
567	936	712
568	938	710
569	939	708
570	941	707
571	942	705
572	944	703
573	947	702
574	949	701
575	950	699
576	952	698
577	954	696
578	955	694
579	957	693
580	958	691
581	960	689
582	963	688
583	965	687
584	966	685
585	967	683
586	969	682
587	971	680
588	972	678
589	974	676
590	975	675
591	977	674
592	979	672
593	980	670
594	982	668
595	983	666
596	985	665
597	986	663
598	988	661
599	989	659
600	991	658
601	994	657
602	995	655
603	997	653
604	998	652
605	1000	650
606	1002	648
607	1003	647
608	1004	645
609	1006	643
610	1010	643
611	1011	641
612	1012	639
613	1014	637
614	1016	636
615	1018	634
616	1019	632
617	1021	631
618	1023	629
619	1024	628
620	1026	626
621	1028	624
622	1029	623
623	1031	621
624	1032	619
625	1034	618
626	1036	616
627	1038	615
628	1040	613
629	1042	612
630	1043	610
631	1045	608
632	1047	607
633	1048	605
634	1050	603
635	1051	602
636	1054	601
637	1056	599
638	1058	597
639	1060	596
640	1062	594
641	1064	593
642	1066	591
643	1067	590
644	1069	588
645	1071	586
646	1072	585
647	1074	583
648	1076	582
649	1078	580
650	1079	578
651	1081	577
652	1083	575
653	1084	574
654	1086	572
655	1088	570
656	1089	568
657	1091	567
658	1093	565
659	1094	563
660	1096	562
661	1097	560
662	1099	558
663	1100	557
664	1102	555
665	1104	553
666	1105	552
667	1107	550
668	1109	548
669	1110	547
670	1112	545
671	1114	544
672	1116	542
673	1118	540
674	1119	539
675	1121	537
676	1122	535
677	1124	534
678	1126	532
679	1127	530
680	1129	529
681	1131	527
682	1133	526
683	1135	524
684	1137	523
685	1139	521
686	1140	519
687	1142	517
688	1144	516
689	1147	515
690	1149	513
691	1151	512
692	1152	510
693	1154	508
694	1155	507
695	1158	505
696	1160	504
697	1162	503
698	1164	501
699	1165	499
700	1167	497
701	1168	496
702	1170	494
703	1172	492
704	1174	491
705	1175	489
706	1177	488
707	1179	486
708	1181	484
709	1182	483
710	1184	481
711	1186	479
712	1187	478
713	1189	476
714	1191	474
715	1193	473
716	1195	471
717	1196	470
718	1198	468
719	1200	466
720	1202	465
721	1203	463
722	1205	462
723	1207	460
724	1209	458
725	1210	456
726	1212	455
727	1214	453
728	1215	451
729	1217	450
730	1219	448
731	1221	447
732	1223	445
733	1224	443
734	1226	442
735	1227	440
736	1229	438
737	1231	437
738	1232	435
739	1234	433
740	1236	432
741	1238	430
742	1240	428
743	1242	427
744	1243	425
745	1245	423
746	1246	422
747	1248	420
748	1249	418
749	1251	417
750	1254	415
751	1256	414
752	1258	412
753	1259	410
754	1260	409
755	1262	407
756	1263	405
757	1265	403
758	1267	402
759	1269	400
760	1272	399
761	1274	398
762	1276	396
763	1278	394
764	1280	393
765	1283	392
766	1285	390
767	1287	388
768	1289	387
769	1291	385
770	1292	384
771	1295	382
772	1302	382
773	1303	380
774	1305	379
775	1307	377
776	1309	375
777	1310	374
778	1317	373
779	1320	372
780	1322	370
781	1323	369
782	1325	367
783	1327	365
784	1329	364
785	1331	362
786	1333	360
787	1335	359
788	1336	357
789	1339	355
790	1345	355
791	1347	353
792	1349	352
793	1351	350
794	1353	348
795	1354	347
796	1356	345
797	1360	344
798	1362	342
799	1364	341
800	1365	339
801	1368	337
802	1370	336
803	1372	334
804	1374	333
805	1377	331
806	1379	329
807	1383	328
808	1385	327
809	1390	326
810	1393	324
811	1395	323
812	1397	321
813	1399	319
814	1401	318
815	1402	316
816	1404	314
817	1406	312
818	1407	311
819	1409	309
820	1411	307
821	1412	305
822	1414	304
823	1415	302
824	1417	300
825	1418	298
826	1420	297
827	1422	295
828	1424	293
829	1425	292
830	1427	290
831	1429	288
832	1430	286
833	1432	285
834	1433	283
835	1435	281
836	1438	280
837	1440	278
838	1441	276
839	1443	274
840	1445	273
841	1446	271
842	1448	269
843	1452	268
844	1455	266
845	1457	265
846	1459	263
847	1461	261
848	1463	260
849	1468	259
850	1470	257
851	1472	255
852	1473	254
853	1475	252
854	1476	250
855	1478	248
856	1482	247
857	1483	245
858	1485	243
859	1486	242
860	1488	240
861	1490	238
862	1491	236
863	1493	235
864	1498	233
865	1500	232
866	1502	230
867	1504	228
868	1507	227
869	1513	226
870	1516	224
871	1518	222
872	1519	221
873	1521	219
874	1523	217
875	1525	215
876	1527	214
877	1529	212
878	1531	210
879	1533	209
880	1535	207
881	1538	205
882	1539	204
883	1543	202
884	1545	200
885	1547	199
886	1549	197
887	1551	195
888	1553	193
889	1555	192
890	1559	190
891	1561	189
892	1563	187
893	1566	185
894	1568	184
895	1570	182
896	1574	180
897	1577	179
898	1579	177
899	1581	175
900	1585	174
901	1591	172
902	1593	171
903	1594	169
904	1596	167
905	1597	165
906	1599	163
907	1600	162
908	1602	160
909	1607	158
910	1609	157
911	1610	155
912	1612	153
913	1613	151
914	1614	150
915	1616	148
916	1621	146
917	1622	144
918	1624	143
919	1626	141
920	1627	139
921	1629	137
922	1631	136
923	1633	134
924	1636	132
925	1637	130
926	1639	129
927	1641	127
928	1643	125
929	1645	123
930	1647	122
931	1648	120
932	1651	118
933	1654	116
934	1655	115
935	1657	113
936	1658	111
937	1660	109
938	1662	107
939	1663	106
940	1666	104
941	1668	102
942	1670	100
943	1671	99
944	1673	97
945	1675	95
946	1677	93
947	1679	92
948	1681	90
949	1682	88
950	1684	86
951	1685	85
952	1687	83
953	1689	81
954	1690	79
955	1692	77
956	1694	76
957	1697	74
958	1699	72
959	1701	70
960	1702	69
961	1704	67
962	1706	65
963	1707	63
964	1709	61
965	1714	60
966	1719	58
967	1722	56
968	1723	55
969	1725	53
970	1731	51
971	1734	49
972	1735	48
973	1737	46
974	1739	44
975	1744	42
976	1747	41
977	1750	39
978	1752	37
979	1754	35
980	1756	34
981	1760	32
982	1762	30
983	1770	28
984	1775	27
985	1777	25
986	1783	23
987	1786	21
988	1788	19
989	1790	18
990	1792	16
991	1794	14
992	1795	12
993	1797	10
994	1816	9
995	1819	7
996	1822	5
997	1824	3
998	1826	1
999	1828	0
