iter	Logloss
0	0.692476845
1	0.6917143036
2	0.6913606051
3	0.6902258936
4	0.6895327009
5	0.6887970243
6	0.6882182109
7	0.6875783621
8	0.6870105977
9	0.6864915147
10	0.6855973786
11	0.6847740368
12	0.6841670701
13	0.6836711404
14	0.6832533776
15	0.6828894011
16	0.6820997793
17	0.6814155244
18	0.6808993108
19	0.6807065269
20	0.6800723983
21	0.6795039457
22	0.6791428638
23	0.6789135226
24	0.6785526907
25	0.6783380633
26	0.677797224
27	0.6773600387
28	0.6768410269
29	0.676501493
30	0.6760237024
31	0.6757566712
32	0.6753359949
33	0.6751399127
34	0.6747186512
35	0.6746126543
36	0.6745906636
37	0.6741921319
38	0.6739711554
39	0.6736727056
40	0.6735074107
41	0.673265435
42	0.6730693548
43	0.6727885197
44	0.6725286859
45	0.6723502027
46	0.6720281379
47	0.671773331
48	0.6715455333
49	0.6714129549
50	0.671258043
51	0.6709816475
52	0.6709202651
53	0.6706200976
54	0.6703601076
55	0.6703069813
56	0.670241461
57	0.6701158609
58	0.6698943757
59	0.6696604958
60	0.6696147882
61	0.6694363848
62	0.6694095281
63	0.6693405754
64	0.6692095823
65	0.6690567954
66	0.6688697516
67	0.668683376
68	0.6685950117
69	0.668406658
70	0.6682380376
71	0.6682042188
72	0.6681836176
73	0.668056108
74	0.667994148
75	0.6678111879
76	0.6677831022
77	0.6676978861
78	0.6676698929
79	0.6675985999
80	0.6675563853
81	0.6674123872
82	0.6673068295
83	0.6672021933
84	0.6671687099
85	0.667053604
86	0.6669698558
87	0.6668462086
88	0.6668104319
89	0.6667300165
90	0.6666193287
91	0.6665885082
92	0.6665038274
93	0.6664697459
94	0.6664054861
95	0.6663772722
96	0.666331748
97	0.6662582273
98	0.6662286806
99	0.666126744
100	0.666097022
101	0.6660641049
102	0.6660040909
103	0.6659768089
104	0.6659230025
105	0.6658866712
106	0.6658468577
107	0.6657635807
108	0.665748056
109	0.6656708384
110	0.6656677778
111	0.6656372849
112	0.6656074785
113	0.6655811167
114	0.665541966
115	0.6654640111
116	0.6654549676
117	0.6654089307
118	0.6653519677
119	0.6653257723
120	0.6652732462
121	0.6652700764
122	0.6652348413
123	0.665203102
124	0.665170972
125	0.6651361747
126	0.6651237141
127	0.6650909616
128	0.6650825679
129	0.6650781991
130	0.6650364017
131	0.6650300077
132	0.6650083943
133	0.6649970474
134	0.6649543476
135	0.6649384147
136	0.6649233946
137	0.6649209835
138	0.664905854
139	0.6648910889
140	0.66486642
141	0.6648121839
142	0.6648106086
143	0.6647594098
144	0.6647052621
145	0.6646895072
146	0.6646472285
147	0.6646074209
148	0.6645709878
149	0.6645251633
150	0.6645230579
151	0.6645097909
152	0.6644745408
153	0.6644403843
154	0.6644165347
155	0.6643871613
156	0.6643843701
157	0.6643621632
158	0.6643528316
159	0.6643473089
160	0.6643409987
161	0.6643326578
162	0.664323814
163	0.6642900521
164	0.6642833161
165	0.6642820064
166	0.664266166
